date,value,num_positions,num_signals,num_agents,weights
2023-11-28,1304857.1289758529,14,60,11,"{'AMZN': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'VOO': 0.07142857142857144, 'META': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'VTI': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'SPY': 0.07142857142857144, 'CRM': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'NFLX': 0.07142857142857144}"
2023-11-29,1301150.0317592816,14,60,11,"{'PYPL': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'SPY': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'VTI': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'CRM': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'VOO': 0.07142857142857144}"
2023-11-30,1301558.711077018,14,60,11,"{'MSFT': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'CRM': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'VOO': 0.07142857142857144, 'META': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'SPY': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'VTI': 0.07142857142857144}"
2023-12-01,1307587.4519030708,14,60,11,"{'CRM': 0.07142857142857144, 'META': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'SPY': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'VOO': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'VTI': 0.07142857142857144}"
2023-12-04,1289587.0044406035,14,60,11,"{'SPY': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'CRM': 0.07142857142857144, 'VOO': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'META': 0.07142857142857144, 'VTI': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'QQQ': 0.07142857142857144}"
2023-12-05,1294854.6812377488,14,60,11,"{'ADBE': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'META': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'SPY': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'CRM': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'VTI': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'NVDA': 0.07142857142857144}"
2023-12-06,1287134.0208443713,14,60,11,"{'CRM': 0.07142857142857144, 'SPY': 0.07142857142857144, 'VOO': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'META': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'VTI': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'MSFT': 0.07142857142857144}"
2023-12-07,1304989.2759681647,14,60,11,"{'META': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'SPY': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'VTI': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'VOO': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'CRM': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'AMZN': 0.07142857142857144}"
2023-12-08,1312509.0041203005,14,60,11,"{'TSLA': 0.07142857142857144, 'META': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'SPY': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'VTI': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'VOO': 0.07142857142857144}"
2023-12-11,1307883.6359306176,14,60,11,"{'CRM': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'VTI': 0.07142857142857144, 'SPY': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'VOO': 0.07142857142857144, 'META': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'QQQ': 0.07142857142857144}"
2023-12-12,1317959.5303479787,14,60,11,"{'SPY': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'META': 0.07142857142857144, 'CRM': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'VTI': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'VOO': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'TSLA': 0.07142857142857144}"
2023-12-13,1333028.0497184342,14,60,11,"{'META': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'SPY': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'CRM': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'VOO': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'MSFT': 0.07142857142857144}"
2023-12-14,1328439.0243764054,14,60,11,"{'NVDA': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'META': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'VTI': 0.07142857142857144, 'VOO': 0.07142857142857144, 'SPY': 0.07142857142857144, 'CRM': 0.07142857142857144}"
2023-12-15,1334362.4159247552,14,60,11,"{'CRM': 0.07142857142857144, 'VTI': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'VOO': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'META': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'SPY': 0.07142857142857144}"
